,timestamp,buy_tools,purchased_before,amount_paid,good_value,pairs_bought,how_often_buy,interested,plan_purchase,tools_used,willing_to_pay_more,more_for_us,farm_type,miles_maintained,location_to_buy,percentage_wood,years_farming,current_occupation,zip_code,low_paid,high_paid,low_willingness,high_willingness
1,26:35.4,I always buy the tools,Yes,$60 or more,Yes,9-Jul,Every year or more often,Yes,Yes,"Hammer, Plammer, Wire stretcher",$40+,$20+,Ranch,40,"Local ranch store, ACE Hardware, Sears",,21+ years,Rancher,,$60 ,,$40 ,
2,26:57.9,I always buy the tools,Yes,$50 - $59,Yes,More than 9,Every 2 years,Yes,No,"Hammer, Plammer, Hammer claw, Wire stretcher, Steel post pounder",$40+,$20+,Ranch,75,"Local ranch store, ACE Hardware",0.5,21+ years,"Own a farm, Rancher",59301,$50 ,$59 ,$40 ,
3,28:09.2,I always buy the tools,Yes,$50 - $59,Yes,6-Apr,Less often than every 7 years,Yes,Yes,"Plammer, Wire stretcher",$30-$39,$5-$9,Ranch,50,Local ranch store,1,0-5 years,Rancher,68763,$50 ,$59 ,$30 ,$39 
5,34:08.8,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 5-7 years,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Side cut, Wire stretcher, Pliers, Steel post pounder",$20-$29,$0-$4,Ranch,30,"Local ranch store, ACE Hardware, Menard's",0.2,21+ years,Rancher,,$20 ,$29 ,$20 ,$29 
9,42:03.6,I always buy the tools,Yes,$40 - $49,Yes,6-Apr,Less often than every 7 years,Yes,Yes,"Hammer, Wire snips/cutters, Side cut, Steel post pounder",$20-$29,$15-$19,Ranch,30,Local ranch store,0.1,21+ years,"Own a farm, Rancher",74080,$40 ,$49 ,$20 ,$29 
10,42:49.3,I always buy the tools,Yes,$30 - $39,No,More than 9,Every year or more often,Yes,Yes,"Hammer claw, Wire snips/cutters, Wire stretcher",$30-$39,$10-$14,Ranch,200,Local ranch store,0.9,21+ years,"Own a farm, Livestock care, Rancher",69033,$30 ,$39 ,$30 ,$39 
11,42:51.7,I sometimes buy the tools,Yes,$30 - $39,Yes,6-Apr,Less often than every 7 years,Yes,Yes,"Hammer, Side cut, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$30-$39,$10-$14,Ranch,25,Local ranch store,0.3,16-20 years,"Livestock care, Rancher, Student",80908,$30 ,$39 ,$30 ,$39 
12,44:35.6,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 3-4 years,Yes,No,Pliers,$30-$39,$5-$9,Ranch,5,Local ranch store,0.3,16-20 years,"Rancher, Commercial landscaping",78621,$20 ,$29 ,$30 ,$39 
13,46:42.0,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Wire stretcher, Steel post pounder",$10-$19,$5-$9,"Commercial farm, Ranch",10,"Local ranch store, Amazon, Other online store",0.1,21+ years,"Employee of a farm, ranch or orchard, Equipment operator, Livestock care, Rancher",99111,$20 ,$29 ,$10 ,$19 
14,47:02.0,I always buy the tools,Yes,$20 - $29,Yes,9-Jul,Every 3-4 years,Yes,Yes,"Hammer claw, Wire stretcher, Pliers, Steel post pounder",$0-$9,$15-$19,"Commercial farm, Ranch",25,"Local ranch store, Harbor Freight Tools",0.1,11-15 years,"Own a farm, Manage a farm",68436,$20 ,$29 ,$0 ,$9 
15,57:18.5,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every 2 years,Yes,No,"Hammer, Wire stretcher, Pliers, Steel post pounder",$0-$9,$20+,Ranch,100,Local ranch store,1,21+ years,Rancher,69121,$20 ,$29 ,$0 ,$9 
